START_TIME=1431616849116
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=1
COLS=+TIME Gx Gy Gz
====================
473 8.937 -3.726 1.552
660 -0.107 -0.656 9.784
770 -0.372 -0.491 9.787
874 -0.480 -0.351 9.789
975 -0.472 -0.295 9.791
1107 -0.752 -0.374 9.771
1202 -0.709 -0.144 9.780
1283 -0.726 -0.062 9.780
1384 -0.654 0.235 9.782
1479 -0.161 0.473 9.794
1596 0.447 0.431 9.787
1693 0.601 0.354 9.782
1793 0.673 0.349 9.777
1917 0.631 0.205 9.784
2037 0.479 -0.215 9.793
2188 1.201 -0.858 9.695
2306 1.584 -1.091 9.616
2387 1.467 -1.226 9.619
2505 1.415 -1.259 9.622
2692 -0.268 -2.321 9.524
2936 -0.910 -2.423 9.459
3048 -1.135 -1.926 9.548
3146 -0.550 -1.153 9.723
3276 -0.639 -1.029 9.732
3391 -0.568 -1.015 9.737
3530 -0.570 -1.052 9.733
3625 -0.575 -1.219 9.714
3705 -0.603 -1.363 9.693
3786 -0.807 -1.480 9.661
3879 -0.802 -1.448 9.666
3995 -0.789 -1.510 9.658
4077 -0.797 -1.556 9.649
4169 -0.810 -1.567 9.647
4274 -0.819 -1.568 9.646
4368 -0.826 -1.540 9.650
4545 -0.832 -1.519 9.653
4636 -0.837 -1.521 9.652
4725 -0.853 -1.527 9.649
4961 -0.864 -1.497 9.653
5153 -0.931 -1.497 9.647
5290 -1.034 -1.464 9.641
5400 -1.643 -0.259 9.665
5514 -1.107 0.412 9.735
5595 -1.261 0.385 9.718
5696 -1.225 0.460 9.719
5889 -1.481 0.577 9.677
5985 -1.654 0.409 9.658
6075 -1.535 0.260 9.682
6169 -1.503 -0.062 9.691
6264 -1.513 -0.368 9.682
6349 -1.494 -0.354 9.686
6722 -1.456 -0.162 9.697
