START_TIME=1431443111431
INTERVAL=80
SENSOR=GRAVITY
SCENE=绊倒
COLS=+TIME Gx Gy Gz
====================
+441 2.886 8.951 -2.779
+564 1.351 9.478 -2.126
+667 -2.968 6.847 6.362
+767 -2.674 4.744 8.155
+848 -3.231 3.694 8.491
+932 -3.147 3.322 8.674
+1020 -3.804 3.248 8.435
+1113 -4.280 3.127 8.251
+1193 -4.191 3.015 8.338
+1293 -4.652 3.584 7.854
+1388 -4.915 4.596 7.134
+1493 -5.251 4.395 7.021
+1580 -6.133 4.266 6.353
+1673 -6.619 5.644 4.528
+1768 -6.887 6.022 3.531
+1863 -5.607 7.007 3.955
+1943 -3.919 8.404 3.191
+2023 -3.595 9.009 1.447
+2137 -4.135 8.515 2.561
+2222 -4.831 8.401 1.504
+2308 -5.961 7.673 1.328
+2428 -5.708 7.877 1.243
+2537 -4.388 8.767 0.230
+2617 -5.053 8.398 0.326
+2737 -6.577 7.273 -0.121
+2827 -4.538 8.673 -0.603
+2922 -4.439 8.722 0.631
+3025 -4.304 8.751 1.031
+3106 -3.538 9.146 0.012
+3230 -3.826 9.019 -0.446
+3323 -4.171 8.864 -0.450
+3432 -4.367 8.776 -0.291
+3518 -4.278 8.790 -0.777
+3598 -4.599 8.595 -1.074
+3698 -4.818 8.359 -1.757
+3778 -4.695 8.568 -0.850
+3868 -5.155 8.167 -1.702
+3958 -5.325 7.960 -2.111
+4042 -5.211 8.198 -1.344
+4175 -5.656 7.417 3.027
+4285 -3.110 4.239 8.278
+4401 -0.827 6.274 7.491
+4495 -3.467 6.337 6.633
+4630 -4.455 5.330 6.922
+4737 -7.742 -0.700 5.978
+4857 -7.516 -3.540 5.210
+4972 -7.183 -4.959 4.471
+5053 -7.286 -5.755 3.158
+5187 -7.490 -5.325 3.422
+5273 -7.437 -5.631 3.026
+5389 -7.751 -5.558 2.279
+5477 -8.205 -5.138 1.565
+5559 -8.149 -5.442 0.378
+5662 -7.610 -6.025 -1.400
+5749 -8.098 -5.431 -1.045
+5837 -8.692 -4.168 -1.800
+5962 -7.723 -4.690 -3.811
+6046 -6.916 -3.714 -5.877
+6156 -8.030 2.932 -4.806
+6251 -6.959 6.890 0.511
+6337 -6.069 7.414 2.093
+6470 -5.410 8.161 0.549
+6582 -5.266 8.265 0.373
+6682 -4.952 8.426 0.807
+6782 -4.365 8.782 0.044
+6907 -3.224 9.236 -0.689
+6987 -2.674 9.368 -1.122
+7071 -2.497 9.397 -1.278
+7161 -1.441 9.516 -1.880
+7262 -1.133 9.419 -2.484
+7357 -1.085 9.513 -2.118
+7462 -1.072 9.494 -2.209
+7542 -0.969 9.516 -2.163
+7677 -0.996 9.487 -2.276
+7789 -0.960 9.508 -2.200
+7902 -1.035 9.493 -2.232
+8056 -1.068 9.478 -2.280
+8141 -1.098 9.464 -2.324
+8221 -1.102 9.450 -2.378
+8302 -1.019 9.468 -2.344
+8387 -1.060 9.446 -2.411
+8500 -1.077 9.450 -2.391
+8597 -1.078 9.447 -2.401
+8681 -1.098 9.430 -2.458
+8812 -1.195 9.395 -2.546
+8892 -1.234 9.402 -2.501
+8972 -1.224 9.398 -2.518
+9104 -0.992 9.414 -2.562
+9197 -0.870 9.389 -2.696
+9287 -0.922 9.374 -2.728
+9398 -0.924 9.365 -2.759
+9481 -0.924 9.364 -2.762
+9593 -0.939 9.350 -2.804
+9687 -0.975 9.330 -2.858
+9776 -1.029 9.301 -2.933
+9933 -1.086 9.304 -2.903
+10022 -1.076 9.303 -2.910
+10187 -1.078 9.296 -2.931
+10317 -1.064 9.299 -2.928
+10427 -1.066 9.307 -2.901
+10522 -1.067 9.320 -2.858
+10617 -1.065 9.322 -2.853
+10697 -1.071 9.322 -2.849
+10787 -1.074 9.324 -2.842
+10872 -1.095 9.321 -2.845
+10953 -1.126 9.305 -2.883
+11033 -1.161 9.290 -2.920
+11133 -1.171 9.244 -3.059
+11218 -1.150 9.187 -3.232
+11328 -1.053 9.159 -3.343
