START_TIME=1431444258004
INTERVAL=80
SENSOR=LACCE
SCENE=绊倒
COLS=+TIME aX aY aZ
====================
+466 -1.977 -1.159 0.153
+586 1.064 -4.607 10.913
+773 0.642 -4.398 10.276
+872 0.258 -3.539 5.511
+952 0.098 -2.786 3.388
+1042 0.295 -1.793 -1.055
+1142 1.047 -1.373 -3.745
+1227 1.464 -1.316 -4.560
+1326 2.352 -1.223 -5.544
+1417 1.085 0.393 -5.244
+1522 -1.529 1.989 -4.724
+1622 0.675 1.724 -1.978
+1727 -2.975 5.027 -9.873
+1817 -24.704 -10.996 2.150
+1912 8.289 -2.690 3.746
+2007 16.364 -8.463 11.385
+2087 1.651 -19.093 2.623
+2187 2.546 4.722 6.111
+2287 8.137 6.891 0.770
+2367 -14.740 7.102 -7.488
+2482 -7.018 0.181 -6.489
+2587 -7.755 0.921 -12.888
+2677 4.689 6.067 -7.753
+2761 6.129 1.787 -7.320
+2852 6.595 3.761 -6.680
+2951 6.746 5.836 -6.904
+3046 5.760 3.970 -3.721
+3142 1.742 2.216 -3.275
+3227 -3.811 0.502 1.318
+3322 -0.644 0.802 2.948
+3407 -1.689 0.559 4.107
+3497 -1.664 0.020 3.717
+3587 -0.547 0.591 4.094
+3667 0.329 0.815 3.710
+3752 -0.039 0.204 1.528
+3847 0.309 -0.685 -0.228
+3942 0.017 -0.745 -0.166
+4092 -0.071 -0.611 -0.038
+4202 0.278 -0.168 0.233
+4287 0.283 0.183 0.533
+4407 0.057 0.359 0.636
+4497 0.054 0.278 0.482
+4587 0.367 0.354 0.411
+4677 0.074 0.390 0.412
+4767 -0.163 0.308 0.338
+4877 -0.068 0.258 0.264
+5002 0.120 0.097 0.115
+5082 0.118 0.106 0.116
+5172 0.029 0.134 0.137
+5287 -0.061 0.086 0.098
