START_TIME=1431444258004
INTERVAL=80
SENSOR=ROTATE
SCENE=绊倒
COLS=+TIME rX rY rZ
====================
+499 -0.435 0.499 0.299
+589 -0.548 0.618 -0.039
+776 0.277 0.297 -0.075
+878 -0.065 -0.391 -0.193
+972 -0.095 -0.302 -0.067
+1072 -0.214 -0.469 0.082
+1165 -0.510 -0.107 -0.087
+1249 -0.312 -0.864 -0.051
+1329 -0.041 -1.686 -0.356
+1420 -0.530 -1.251 -0.574
+1525 -0.745 -0.527 0.075
+1625 0.269 -2.308 0.702
+1730 0.247 -2.493 2.743
+1821 7.676 -2.235 -0.269
+1915 3.384 2.818 1.284
+2025 -3.679 3.761 -3.126
+2107 -3.784 6.187 -2.476
+2190 -1.849 0.024 0.645
+2290 0.957 3.352 1.268
+2387 1.641 -1.129 1.294
+2485 2.752 8.284 -0.959
+2590 -1.307 3.831 1.194
+2679 -3.335 5.279 0.562
+2763 -1.296 3.024 1.928
+2853 -1.330 2.396 1.756
+2954 -0.465 0.477 1.075
+3049 0.058 1.096 0.516
+3145 0.265 0.214 0.382
+3230 -0.360 0.883 0.632
+3343 -0.300 -0.285 0.023
+3431 0.075 0.284 -0.193
+3517 -0.345 0.813 -0.182
+3607 0.238 0.266 -0.081
+3687 0.637 -0.082 -0.167
+3782 0.963 0.045 -0.098
+3867 0.670 0.060 -0.017
+3964 0.504 -0.281 -0.075
+4096 0.249 0.123 0.156
+4206 0.182 0.014 0.094
+4289 0.119 0.150 0.020
+4410 -0.014 0.058 -0.001
+4499 -0.034 0.079 0.009
+4591 -0.014 -0.008 -0.002
+4698 0.013 0.011 0.002
+4787 -0.057 -0.009 0.039
+4879 0.053 -0.061 0.054
+5005 -0.007 0.008 0.018
+5085 -0.003 -0.010 -0.007
+5175 -0.042 -0.001 0.005
+5289 0.147 -0.028 -0.016
