START_TIME=1431762677972
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
384 1.122 0.459 -0.114
516 1.676 0.645 15.258
635 1.976 -0.290 12.097
723 0.449 -0.253 6.848
826 0.846 -1.045 3.684
906 0.059 -2.769 1.687
991 -0.315 -4.180 4.026
1111 2.065 -3.439 6.725
1196 -4.853 -3.160 -0.902
1278 1.762 3.410 -12.863
1362 3.246 5.040 -13.068
1486 4.706 6.505 -14.614
1576 4.371 6.921 -16.507
1671 2.068 6.487 -16.237
1782 -1.784 6.175 -15.233
1863 -4.192 5.296 -11.992
1999 -22.553 9.709 -1.851
2081 -7.149 -26.645 -0.596
2227 -3.541 3.923 -8.434
2322 -3.489 -10.046 -5.300
2435 0.213 -1.653 -4.448
2551 5.730 20.304 -1.699
2676 1.116 8.662 1.679
2766 0.008 9.077 5.882
2856 11.942 -4.137 24.272
2981 -0.645 10.100 -0.842
3076 -5.404 1.489 13.827
3181 -8.543 -2.259 22.344
3311 -3.239 0.866 18.269
3394 -2.281 -0.204 14.031
3481 0.026 0.870 7.768
3571 0.046 1.014 4.738
3656 -0.787 1.814 -1.481
3746 0.074 0.586 -5.363
3847 0.858 -0.371 -7.411
3927 1.113 -0.742 -8.280
4031 0.909 -1.493 -6.859
4121 0.988 -1.735 -5.592
4211 1.230 -1.925 -4.177
4301 1.262 -1.886 -2.645
4391 1.178 -1.698 -1.974
4481 1.002 -1.350 -1.188
4577 0.900 -1.216 -0.951
4691 0.730 -0.981 -0.704
4791 0.811 -0.894 -0.528
4876 0.607 -0.735 -0.413
4956 0.536 -0.685 -0.354
5061 0.454 -0.564 -0.264
5147 0.431 -0.504 -0.214
5227 0.351 -0.465 -0.191
5337 0.319 -0.457 -0.159
5442 0.308 -0.363 -0.125
5551 0.255 -0.309 -0.113
5672 0.273 -0.257 -0.095
5757 0.172 -0.276 -0.086
5861 0.229 -0.229 -0.068
5961 0.210 -0.208 -0.059
6046 0.235 -0.190 -0.052
6146 0.213 -0.190 -0.049
6278 0.144 -0.172 -0.045
6372 0.153 -0.212 -0.042
6452 0.156 -0.142 -0.036
6541 0.141 -0.141 -0.032
6639 0.183 -0.160 -0.028
6739 0.130 -0.128 -0.026
6842 0.079 -0.112 -0.025
6951 0.106 -0.111 -0.022
7031 0.084 -0.090 -0.023
7121 0.135 -0.098 -0.019
7206 0.110 -0.091 -0.018
7297 0.086 -0.115 -0.018
7377 0.042 -0.121 -0.020
7471 0.135 -0.119 -0.014
7556 0.053 -0.095 -0.016
7657 0.080 -0.120 -0.014
7761 0.100 -0.092 -0.011
7851 0.078 -0.088 -0.011
7946 0.113 -0.035 -0.008
8061 0.071 -0.071 -0.010
8167 0.066 -0.032 -0.009
8269 0.121 -0.087 -0.006
8372 0.037 -0.064 -0.009
8491 0.069 -0.067 -0.007
8576 0.069 -0.055 -0.007
8656 0.038 -0.034 -0.007
8737 0.075 -0.044 -0.004
8817 0.082 -0.043 -0.003
8942 0.038 -0.044 -0.005
9037 0.104 -0.023 -0.002
9152 0.038 -0.053 -0.005
9251 0.083 -0.058 -0.003
9336 0.045 -0.085 -0.005
