START_TIME=1431762696531
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
345 -0.384 -0.422 -0.509
430 0.407 -0.130 -0.182
537 0.261 0.197 -0.860
680 -0.209 0.184 -0.359
796 -0.649 1.404 -0.823
892 -0.141 -0.655 -0.772
992 0.087 -0.027 0.031
1077 1.250 0.394 -0.894
1157 1.181 -0.708 -1.412
1262 0.924 -0.586 -1.615
1407 0.742 -0.712 -1.664
1492 0.670 -0.764 -1.693
1592 0.568 -0.629 -0.009
1672 0.389 -0.428 -1.716
1792 0.054 -0.173 -1.703
1932 9.825 11.316 9.165
2072 -11.347 17.678 6.642
2152 2.960 11.437 -1.431
2311 -6.691 -0.935 -2.955
2409 2.669 20.940 3.804
2538 0.084 -11.023 0.800
2637 -1.699 3.219 -0.004
2733 0.142 2.360 -0.018
2857 0.059 0.108 0.007
2937 0.006 0.075 0.004
3027 0.015 0.019 -0.007
3112 -0.007 -0.013 0.005
3207 -0.001 0.015 -0.003
3312 -0.004 0.006 0.005
3432 0.006 -0.002 0.000
3538 -0.005 -0.001 0.005
3677 0.003 -0.003 0.003
3757 0.029 -0.001 0.005
3857 0.001 0.015 0.002
3937 0.001 -0.010 0.008
4022 -0.009 -0.004 0.004
4181 -0.001 -0.005 0.000
4271 -0.005 -0.003 0.003
4376 0.002 0.015 0.010
4467 0.003 -0.007 0.007
4557 -0.003 -0.003 -0.002
4677 -0.004 -0.002 0.000
4785 -0.003 -0.004 0.007
4902 -0.009 -0.001 0.005
5026 0.004 -0.002 0.005
5150 -0.001 -0.002 0.004
5231 0.002 -0.001 0.008
5405 0.004 0.015 0.002
5492 -0.004 -0.002 0.003
5581 -0.002 0.015 -0.002
5672 0.001 0.001 0.004
5761 -0.004 0.001 0.004
5842 -0.007 -0.007 0.003
5936 -0.023 0.003 0.008
6087 0.005 -0.003 -0.000
6171 0.001 0.000 -0.000
6276 0.003 -0.006 -0.012
6366 -0.008 -0.004 -0.011
6537 0.001 0.002 -0.001
6647 -0.001 -0.001 -0.003
6728 0.015 -0.001 0.004
6851 -0.003 -0.003 0.000
6946 0.004 0.000 0.002
7041 -0.001 0.016 -0.002
7174 0.001 -0.005 0.001
7255 0.005 0.016 -0.010
7357 0.001 -0.004 0.008
7487 -0.002 -0.003 0.002
7577 0.003 0.009 -0.000
7657 0.013 -0.021 0.003
7773 -0.003 -0.016 0.002
7909 -0.006 0.006 0.005
8051 -0.000 0.021 -0.002
8131 -0.020 0.005 0.005
8220 0.007 0.003 -0.011
8338 0.007 -0.007 0.000
8452 0.005 0.004 -0.003
8537 -0.004 -0.001 -0.012
8637 -0.003 -0.000 -0.002
8729 -0.001 -0.000 -0.006
8827 0.001 0.004 0.000
8941 -0.001 -0.005 -0.002
9022 0.005 0.018 -0.005
9108 -0.001 0.018 0.010
9201 -0.020 0.011 -0.003
9322 -0.010 0.018 -0.002
