START_TIME=1431272572752
INTERVAL=80
SENSOR=GRAVITY
SCENE=走路
COLS=+TIME Gx Gy Gz
====================
+172 -0.242 1.048 -9.748
+294 -1.626 3.689 8.940
+379 -0.235 2.847 9.381
+469 0.278 2.856 9.377
+612 1.478 2.858 9.264
+717 0.821 2.921 9.325
+808 0.703 3.188 9.247
+899 1.330 4.154 8.783
+984 2.341 6.004 7.392
+1084 3.265 7.454 5.473
+1167 3.833 7.933 4.307
+1253 5.211 7.682 3.162
+1343 5.965 7.363 2.527
+1475 5.236 7.693 3.093
+1571 3.607 7.942 4.481
+1666 2.440 7.780 5.449
+1809 1.322 7.676 5.958
+1904 -1.272 6.087 7.583
+2021 -2.428 5.542 7.718
+2110 -1.847 5.213 8.099
+2190 -1.082 4.825 8.469
+2288 -0.031 4.383 8.773
+2396 -0.056 3.963 8.970
+2539 0.376 3.579 9.122
+2665 1.040 3.455 9.119
+2771 1.329 3.226 9.165
+2861 1.532 2.909 9.239
