START_TIME=1431272572752
INTERVAL=80
SENSOR=LACCE
SCENE=走路
COLS=+TIME aX aY aZ
====================
+169 -1.429 -0.987 18.174
+249 0.758 -2.969 -0.364
+341 1.131 -1.888 -0.989
+431 0.404 -0.838 -1.200
+511 1.297 0.751 -1.829
+611 -3.943 0.153 -1.000
+716 -1.742 0.597 -1.042
+807 -0.340 1.516 -0.402
+897 -0.259 -0.341 0.340
+982 0.970 0.204 6.163
+1082 -2.342 0.291 -1.970
+1165 -2.371 -1.715 -1.727
+1251 -1.509 -2.584 -1.005
+1341 -2.605 -0.881 -0.407
+1457 -1.400 1.477 1.508
+1568 2.227 1.078 -0.262
+1663 2.282 2.981 4.149
+1767 3.487 1.876 -2.593
+1872 4.378 1.644 -2.487
+2003 1.942 0.566 -1.169
+2086 1.042 0.012 -0.365
+2188 -0.878 -0.074 -2.630
+2286 0.616 -0.007 0.116
+2394 -1.486 -0.693 0.896
+2524 -1.278 -1.237 0.860
+2614 -0.864 -0.895 0.591
+2694 -0.652 -0.696 0.651
+2799 -0.121 -0.352 0.591
+2879 0.335 -0.793 0.275
