START_TIME=1431272572752
INTERVAL=80
SENSOR=ROTATE
SCENE=走路
COLS=+TIME rX rY rZ
====================
+162 -0.489 -0.254 -0.029
+246 -0.139 -0.277 0.229
+339 0.225 -0.578 0.329
+429 0.405 -0.377 -0.680
+509 -0.121 -1.992 -2.314
+608 0.073 -0.928 -0.686
+714 0.089 -0.756 0.245
+804 1.147 -0.325 -0.111
+894 1.862 -0.275 0.031
+979 2.695 -2.465 -0.110
+1079 1.692 -0.179 0.341
+1162 0.693 -1.087 1.090
+1249 1.180 -1.587 1.624
+1339 0.945 0.308 0.473
+1454 -0.150 1.272 -0.685
+1564 0.299 1.391 -1.325
+1659 -0.115 1.436 -0.728
+1764 -0.820 1.125 -0.463
+1869 -2.915 4.402 -1.411
+1999 -0.633 0.730 -0.791
+2084 -0.335 -0.456 0.780
+2184 -0.878 -0.980 1.058
+2283 -0.901 -0.188 -0.205
+2364 -0.291 -0.132 -0.565
+2444 -0.415 -0.835 -0.845
+2574 0.048 -1.054 -0.499
+2664 -0.028 -0.826 -0.493
+2769 -0.221 -0.214 -0.097
+2859 -0.423 -0.206 0.160
