START_TIME=1431438743846
INTERVAL=80
SENSOR=GRAVITY
SCENE=上扔手机
COLS=+TIME Gx Gy Gz
====================
+46 -0.379 5.202 8.304
+133 -0.550 5.175 8.312
+214 -1.045 5.068 8.330
+295 -1.352 5.051 8.296
+391 -1.631 4.990 8.283
+475 -1.506 4.925 8.345
+555 -1.218 4.782 8.475
+637 -0.928 4.583 8.620
+717 -0.834 4.203 8.821
+798 -0.672 3.771 9.028
+879 -0.819 3.203 9.233
+959 -1.066 2.358 9.459
+1041 -1.384 1.502 9.592
+1121 -1.400 0.665 9.683
+1202 -1.171 0.204 9.734
+1282 -1.343 -0.182 9.713
+1364 -1.985 -0.534 9.589
+1445 -2.439 -0.869 9.459
+1533 -3.316 -2.520 8.878
+1619 -3.787 -8.330 3.526
+1701 -0.155 -8.126 -5.488
+1781 9.416 -1.390 2.361
+1872 5.362 0.839 8.168
+1966 2.793 0.544 9.385
+2056 -0.516 0.611 9.774
+2139 -1.485 1.143 9.626
+2241 -1.812 1.424 9.532
+2350 -1.318 1.576 9.589
+2430 -1.054 1.887 9.565
+2533 -0.749 1.831 9.605
+2614 -0.430 1.720 9.645
+2697 -0.221 2.530 9.472
+2781 -0.380 3.972 8.958
+2868 -0.787 5.201 8.277
+2953 -1.157 5.822 7.806
+3034 -1.222 6.151 7.540
+3123 -1.053 6.072 7.628
+3204 -0.859 5.976 7.728
+3291 -0.837 5.904 7.785
+3386 -0.871 5.941 7.754
+3483 -0.887 5.934 7.757
