START_TIME=1431438743846
INTERVAL=80
SENSOR=LACCE
SCENE=上扔手机
COLS=+TIME aX aY aZ
====================
+44 -0.002 0.028 0.045
+131 -0.771 -0.244 -0.004
+212 -0.807 -0.042 -0.253
+293 -0.378 -0.025 0.148
+374 0.446 -0.223 0.162
+454 0.546 -0.254 0.310
+535 0.799 -0.517 -0.322
+622 0.200 -0.776 0.530
+702 -0.216 -0.790 0.069
+788 0.002 -0.666 0.108
+868 -1.331 -1.477 1.131
+949 -0.118 -1.667 0.647
+1031 0.279 -1.494 0.568
+1111 0.118 -0.898 1.659
+1192 -0.757 -0.368 5.401
+1272 -4.453 -1.665 12.384
+1353 -5.020 -2.168 7.284
+1442 -0.298 -2.536 -5.155
+1529 1.586 -2.124 -11.834
+1616 3.583 8.317 -7.422
+1697 9.348 13.547 7.027
+1778 -3.696 0.328 13.180
+1860 -3.728 -0.826 5.548
+1940 -6.416 1.527 1.484
+2025 -3.327 1.290 2.550
+2108 -0.070 0.234 2.001
+2208 -0.240 0.525 0.220
+2292 1.032 0.760 -0.590
+2379 0.577 -0.095 0.097
+2467 0.948 -0.492 0.553
+2549 0.632 0.336 0.982
+2630 0.238 2.109 -0.930
+2729 -0.842 2.297 -1.003
+2811 -0.885 1.499 -1.542
+2892 -0.248 0.511 -0.543
+2984 0.497 -0.029 -0.541
+3074 0.108 -0.206 0.308
+3155 0.293 -0.126 0.284
+3236 -0.146 0.076 -0.286
+3324 0.026 -0.018 0.015
+3418 -0.028 -0.043 -0.004
+3499 -0.010 0.038 -0.161
