START_TIME=1431438743846
INTERVAL=80
SENSOR=ROTATE
SCENE=上扔手机
COLS=+TIME rX rY rZ
====================
+41 0.000 0.000 0.000
+121 -0.076 0.398 -0.309
+202 -0.075 0.394 -0.360
+283 0.028 0.276 -0.344
+363 -0.064 0.079 -0.211
+444 -0.065 -0.260 0.017
+525 -0.264 -0.337 0.138
+606 -0.294 -0.357 0.089
+687 -0.576 -0.073 0.074
+767 -0.611 -0.236 0.214
+849 -0.806 0.228 0.112
+929 -1.200 0.359 0.329
+1010 -1.112 0.610 0.269
+1091 -1.165 0.064 0.520
+1171 -0.596 -0.273 0.340
+1252 -0.565 0.244 0.280
+1333 -0.450 0.890 -0.046
+1414 -1.104 1.014 0.469
+1494 -2.870 0.554 1.973
+1575 -11.402 -1.980 4.516
+1657 -11.492 1.180 -2.184
+1738 50.987 -10.908 -51.511
+1819 2.044 9.931 -1.743
+1899 -0.490 3.051 -0.613
+1993 -0.395 3.207 -0.385
+2087 0.874 1.448 -0.477
+2175 0.369 0.499 -0.088
+2257 0.052 -0.613 0.458
+2339 0.217 -0.443 0.298
+2427 0.081 -0.005 0.093
+2507 -0.307 -0.756 0.518
+2588 -0.018 -0.084 0.356
+2669 1.176 -0.331 0.037
+2763 1.838 0.150 -0.447
+2851 1.545 0.244 -0.578
+2932 0.849 0.230 -0.305
+3016 0.388 0.040 -0.017
+3104 -0.142 -0.079 0.285
+3185 -0.245 -0.091 0.238
+3267 -0.008 0.064 -0.022
+3357 0.015 -0.007 -0.012
+3450 -0.015 0.065 0.019
+3530 0.017 0.024 0.032
