START_TIME=1431763405288
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
515 6.836 4.058 5.742
626 2.437 -1.019 9.444
717 2.667 -0.040 9.437
873 3.286 0.627 9.218
983 3.195 0.645 9.249
1067 3.005 0.107 9.334
1163 2.878 -0.337 9.369
1271 3.001 -0.545 9.320
1355 3.045 -0.137 9.321
1436 2.707 0.250 9.422
1535 2.322 0.507 9.514
1636 2.001 0.810 9.566
1731 1.951 0.914 9.567
1831 2.053 0.796 9.556
1911 2.109 0.770 9.546
2006 2.301 0.721 9.506
2103 2.349 1.289 9.433
2210 1.493 3.635 8.985
2365 0.858 5.555 8.036
2449 0.753 6.166 7.589
2543 0.772 5.783 7.882
2624 0.983 4.637 8.585
2733 2.153 2.522 9.229
2823 3.868 -0.165 9.010
2912 2.242 1.629 9.407
2996 1.096 3.641 9.039
3082 0.739 4.356 8.755
3174 0.430 4.708 8.592
3283 0.315 4.716 8.593
3401 0.316 4.690 8.607
3483 0.323 4.592 8.659
3614 0.436 4.435 8.736
3698 0.451 4.372 8.767
3806 0.642 3.885 8.981
3899 1.547 1.898 9.496
4024 -0.840 5.177 8.287
4119 -1.064 6.178 7.541
4210 -0.320 4.820 8.534
4299 1.393 2.151 9.466
4415 1.235 3.809 8.952
4543 -0.078 5.841 7.877
4635 1.246 4.443 8.653
4725 2.051 3.208 9.037
4817 1.414 4.899 8.377
4902 -0.151 6.309 7.506
5002 0.413 4.636 8.632
5097 1.358 4.313 8.702
5214 0.327 4.506 8.704
5294 0.212 4.597 8.660
5405 0.054 4.591 8.666
5501 -0.045 4.678 8.619
5671 -0.147 4.802 8.549
5755 -0.088 5.109 8.370
5875 1.360 6.400 7.305
5965 3.497 7.322 5.508
6096 4.650 5.991 6.217
6189 2.234 3.460 8.900
6296 1.925 4.366 8.568
6440 2.873 5.538 7.566
6556 3.702 6.385 6.457
6657 3.626 6.338 6.546
6766 3.574 6.231 6.676
6863 3.376 6.045 6.945
6956 3.212 5.824 7.207
7066 3.366 5.770 7.179
7160 3.469 5.737 7.157
7247 3.562 5.726 7.120
7394 3.567 5.687 7.149
7508 3.598 5.548 7.242
7630 3.560 5.472 7.318
7734 3.536 5.411 7.375
7825 3.520 5.384 7.402
7914 3.477 5.310 7.476
8031 3.484 5.286 7.489
8166 3.546 5.290 7.457
8276 3.616 5.312 7.408
8389 3.651 5.300 7.400
8471 3.669 5.271 7.411
8560 3.691 5.159 7.479
8645 3.643 5.014 7.600
8735 3.621 4.943 7.657
8827 3.607 4.845 7.726
8911 3.604 4.782 7.766
9028 3.503 4.669 7.880
9111 3.289 4.655 7.980
9196 3.313 4.626 7.987
9279 3.227 4.500 8.094
9386 3.196 4.410 8.155
9478 3.211 4.266 8.226
