START_TIME=1431795646576
INTERVAL=80
SENSOR=GRAVITY
SCENE=摔倒
COLS=+TIME Gx Gy Gz
====================
+161 0.000 -0.055 9.806
+271 -1.558 1.702 9.531
+358 -2.439 2.835 9.066
+439 -2.833 3.273 8.800
+520 -2.930 3.168 8.806
+608 -3.044 2.908 8.857
+691 -3.071 2.704 8.912
+773 -2.978 2.623 8.968
+854 -2.902 2.687 8.974
+935 -2.968 2.752 8.932
+1015 -2.905 3.043 8.858
+1097 -2.498 3.561 8.789
+1177 -2.119 4.224 8.593
+1266 -2.714 4.416 8.325
+1349 -4.145 3.636 8.110
+1430 -4.773 2.551 8.178
+1511 -4.214 2.852 8.383
+1592 -4.176 5.210 7.183
+1681 -2.533 7.676 5.553
+1766 -2.068 8.102 5.124
+1847 -2.439 7.146 6.257
+1927 -3.796 6.293 6.492
+2008 -5.414 6.861 4.449
+2089 -4.670 7.966 3.302
+2171 -4.238 8.248 3.190
+2252 -4.171 7.872 4.100
+2333 -3.690 6.901 5.910
+2416 -2.411 6.102 7.289
+2505 -1.502 5.777 7.781
+2585 -1.706 6.182 7.419
+2692 -2.194 6.833 6.684
+2777 -2.491 7.365 5.976
+2858 -2.766 7.700 5.407
+2940 -2.825 7.684 5.398
+3021 -2.553 7.526 5.745
+3103 -2.160 7.418 6.039
+3187 -1.855 7.345 6.227
+3267 -1.696 7.274 6.355
+3348 -1.636 7.080 6.585
+3429 -1.643 7.043 6.624
+3510 -1.537 7.024 6.668
+3591 -1.120 6.965 6.812
+3672 -0.739 6.725 7.099
+3753 -0.535 6.373 7.434
+3834 -0.558 6.158 7.611
+3914 -0.668 6.059 7.682
+3996 -0.694 5.964 7.754
+4076 -0.613 5.776 7.901
+4157 -0.427 5.557 8.069
+4238 -0.316 5.315 8.235
+4319 -0.334 5.157 8.334
+4400 -0.505 4.994 8.425
+4481 -0.612 4.858 8.497
+4562 -0.702 4.712 8.572
+4642 -0.787 4.607 8.621
+4724 -0.724 4.514 8.676
+4805 -0.594 4.360 8.764
+4885 -0.527 4.207 8.843
+4966 -0.588 4.051 8.911
+5047 -0.599 3.948 8.957
+5128 -0.487 3.870 8.998
+5229 -0.448 3.838 9.013
+5310 -0.470 3.872 8.998
+5391 -0.485 3.897 8.986
+5472 -0.485 3.948 8.964
+5553 -0.542 4.004 8.936
+5803 -0.571 4.025 8.924
+5887 -0.646 4.127 8.872
+5968 -0.690 4.121 8.872
