START_TIME=1431795646576
INTERVAL=80
SENSOR=LACCE
SCENE=摔倒
COLS=+TIME aX aY aZ
====================
+158 0.000 0.000 -0.041
+267 -1.289 1.731 -0.719
+348 -0.476 0.500 -0.125
+428 -0.061 -0.230 -0.191
+509 -0.367 -0.628 0.368
+590 -0.155 -0.364 0.206
+671 0.325 0.029 -0.102
+752 0.371 0.029 -0.483
+834 0.131 -0.282 -0.697
+914 0.682 -0.403 -2.436
+995 1.695 -0.231 -3.975
+1076 1.694 0.289 -3.030
+1157 0.553 -1.444 -0.621
+1241 -1.651 -0.661 -0.509
+1330 -1.192 -1.589 4.268
+1410 -0.781 -1.584 9.716
+1492 -0.029 6.107 2.298
+1572 2.394 8.307 -0.301
+1654 3.671 4.432 1.896
+1735 0.588 -0.735 7.316
+1816 -3.536 -1.773 -0.326
+1897 -1.568 -0.347 -2.213
+1977 2.704 2.663 -3.300
+2058 0.369 1.845 1.242
+2140 -1.076 -1.218 1.053
+2220 1.654 -3.247 -0.357
+2301 3.233 -1.993 2.852
+2384 1.190 1.291 4.896
+2464 -0.981 1.784 0.412
+2545 -0.298 0.239 -0.096
+2627 -0.283 0.082 -1.654
+2716 -0.471 0.628 -1.343
+2801 -0.939 0.955 -0.586
+2890 0.138 -0.098 0.706
+2970 0.706 -0.396 0.420
+3052 0.687 -0.066 -0.168
+3136 0.449 -0.123 0.929
+3216 0.365 -0.018 -0.231
+3298 -0.042 -0.381 0.275
+3378 0.026 -0.148 -0.678
+3459 0.699 -0.201 -0.241
+3540 1.156 -0.576 0.418
+3621 0.477 -0.802 0.662
+3702 0.009 -0.591 0.441
+3783 -0.218 -0.252 -0.084
+3865 -0.159 -0.168 0.032
+3945 0.114 -0.380 0.171
+4025 0.387 -0.446 0.256
+4105 0.361 -0.515 -0.174
+4194 0.091 -0.533 -0.025
+4279 -0.433 -0.235 -0.034
+4359 -0.258 -0.229 0.167
+4440 -0.060 -0.194 0.321
+4521 -0.351 -0.327 0.228
+4602 -0.005 -0.075 0.104
+4683 0.566 -0.155 0.511
+4764 0.043 -0.214 0.568
+4845 -0.317 -0.187 0.063
+4932 0.067 -0.230 0.286
+5017 0.128 0.042 0.392
+5098 0.068 0.094 0.251
+5178 -0.052 0.099 0.112
+5259 -0.035 0.069 0.037
+5340 -0.012 0.084 -0.059
+5422 0.024 0.111 -0.101
+5505 -0.221 0.107 0.006
+5784 -0.232 0.211 -0.003
+5867 -0.101 0.051 0.105
+5950 -0.180 0.060 0.035
