START_TIME=1431795646576
INTERVAL=80
SENSOR=ROTATE
SCENE=摔倒
COLS=+TIME rX rY rZ
====================
+149 0.000 0.000 0.000
+275 1.816 1.364 -0.303
+361 0.760 0.550 -0.142
+442 0.229 0.207 -0.053
+523 -0.364 0.136 -0.083
+610 -0.333 0.135 -0.023
+694 -0.199 -0.008 0.080
+775 -0.069 -0.148 0.176
+856 0.070 0.012 0.144
+937 0.073 0.181 0.156
+1018 0.454 -0.137 0.369
+1099 1.030 -0.422 0.653
+1179 0.340 -0.120 0.405
+1272 -0.006 1.560 -0.591
+1353 -1.354 0.896 -0.293
+1433 -1.894 -0.979 0.715
+1513 1.151 -0.278 1.049
+1594 3.493 -0.006 1.627
+1725 3.646 0.120 1.574
+1807 -2.226 -0.539 -0.594
+1899 -1.066 1.539 -1.622
+1979 3.113 2.291 -0.961
+2060 1.796 0.066 1.377
+2144 0.138 -0.394 0.472
+2230 -1.213 -0.518 -0.332
+2320 -2.372 -1.136 0.234
+2419 -1.677 -1.810 0.995
+2512 0.273 -0.296 0.223
+2595 0.896 0.645 -0.202
+2694 1.125 0.586 -0.062
+2779 0.591 0.261 -0.053
+2861 0.487 0.226 -0.245
+2943 -0.451 -0.284 -0.039
+3023 -0.380 -0.461 0.245
+3105 -0.187 -0.438 0.297
+3189 -0.349 -0.277 0.088
+3269 -0.169 -0.196 0.056
+3350 -0.377 -0.094 -0.055
+3430 0.183 0.008 -0.035
+3512 -0.131 -0.294 0.184
+3594 -0.167 -0.516 0.282
+3674 -0.618 -0.468 0.122
+3755 -0.560 -0.263 -0.112
+3835 -0.257 0.040 -0.191
+3916 -0.088 0.010 -0.156
+3998 -0.231 -0.040 -0.059
+4078 -0.285 -0.224 0.060
+4160 -0.414 -0.211 0.059
+4240 -0.305 -0.105 -0.001
+4320 -0.244 0.102 -0.151
+4402 -0.181 0.102 -0.208
+4483 -0.154 0.064 -0.109
+4569 -0.217 0.059 -0.142
+4658 -0.108 0.004 -0.030
+4740 -0.202 -0.200 0.021
+4823 -0.202 -0.163 0.014
+4907 -0.232 -0.004 -0.058
+4997 -0.161 0.012 -0.049
+5077 -0.116 -0.156 0.015
+5158 -0.079 -0.071 0.012
+5239 0.053 0.019 0.014
+5320 0.030 0.025 -0.013
+5402 0.052 0.001 -0.016
+5482 0.067 0.000 -0.004
+5563 0.114 0.159 -0.025
+5776 0.121 0.148 -0.031
+5857 -0.041 -0.025 0.014
+5943 0.005 0.087 -0.044
