START_TIME=1432052484765
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
523 -0.090 -6.402 11.511
645 6.468 3.021 0.020
774 5.758 1.039 -0.161
866 5.519 1.215 -1.686
984 3.540 0.420 -1.305
1067 2.904 -0.580 -1.110
1185 0.837 1.638 -1.611
1317 -2.749 5.682 6.546
1409 -4.487 4.224 4.313
1494 -9.066 5.216 1.850
1595 -12.561 -2.837 6.996
1680 -8.009 1.391 2.657
1776 -3.653 -2.496 -5.457
1915 -3.031 -6.688 9.235
1997 -13.120 -10.659 0.983
2175 -3.081 3.453 -1.451
2311 -4.072 -1.602 3.214
2479 1.456 -0.493 6.542
2567 5.827 -2.433 2.826
2682 6.805 -2.159 0.802
2774 7.615 -1.162 0.181
2865 6.738 -1.021 1.050
2995 6.533 -0.403 1.141
3103 5.461 -0.824 0.555
3214 5.148 -0.879 0.127
3323 4.661 -0.955 0.521
3415 3.500 -1.418 0.117
3571 -0.611 2.522 -6.246
3675 -1.730 1.694 -6.836
3765 -2.263 1.278 -6.087
3893 -2.341 1.124 -5.845
4015 -2.142 0.513 -4.681
4145 -1.804 0.694 -4.003
4287 -1.571 0.213 -3.440
4405 -1.184 0.061 -2.709
4487 -0.953 -0.205 -2.137
4620 -0.298 -0.583 -0.895
4740 -0.156 -0.712 -0.495
4825 -0.171 -0.846 -0.590
4914 -0.191 -0.876 -0.695
4997 -0.180 -0.975 -0.620
5085 -0.168 -1.154 -0.445
5206 -0.184 -1.192 -0.135
5351 -0.152 -0.905 0.107
5465 -0.306 -0.351 -0.306
5680 -0.250 -0.270 0.112
5771 -0.280 -0.428 0.061
6045 -0.127 -0.006 0.150
6177 -0.107 0.071 0.190
6440 -0.060 0.232 0.249
6560 -0.055 0.326 0.181
6681 -0.041 0.360 0.174
6784 0.028 0.301 0.272
6899 0.008 0.154 0.132
7040 -0.001 0.222 0.094
7155 0.036 0.187 0.180
7262 0.037 0.251 0.186
7367 0.008 0.157 0.109
7481 0.034 0.127 0.169
7585 0.035 0.154 0.170
7685 0.027 0.131 0.143
7810 0.012 0.110 0.097
7930 0.026 0.113 0.129
8035 0.005 0.124 0.071
8200 0.017 0.025 0.102
8379 0.025 0.078 0.120
8484 0.017 0.095 0.098
8569 0.009 0.068 0.076
8684 0.020 0.095 0.105
8884 -0.015 0.062 0.012
8973 -0.007 0.049 0.036
9125 0.006 0.061 0.069
9221 0.012 0.122 0.084
9309 0.010 0.090 0.079
9416 -0.002 0.054 0.047
