START_TIME=1432224291852
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
444 0.151 0.183 0.002
550 0.163 0.413 0.013
639 0.254 0.063 0.055
815 0.363 0.025 0.042
903 0.242 -0.280 0.015
1081 -0.544 -0.359 -0.088
1176 -0.274 -0.981 0.296
1366 -0.989 -0.255 0.006
1459 -0.661 -0.083 -0.138
1576 -0.410 0.639 -0.057
1672 1.030 -0.878 -0.221
1931 -0.782 -0.388 -4.018
2012 0.284 -0.776 -1.863
2201 -2.235 -2.772 0.274
2327 1.676 16.050 -3.954
2426 3.320 -1.545 0.874
2539 -1.948 1.555 0.185
2693 1.388 -1.519 2.790
2963 1.988 -1.185 -0.128
3147 -1.292 -0.912 0.852
3240 -0.154 -1.685 0.037
3372 0.468 -1.105 -0.194
3493 0.141 -0.414 -0.295
3575 0.123 -1.294 -0.551
3728 0.017 -0.316 0.173
3859 0.325 -0.282 -0.194
3999 0.109 -0.030 -0.110
4149 0.049 -0.156 0.011
4337 0.079 0.132 -0.094
4457 0.060 0.027 -0.027
4589 0.011 0.012 -0.040
4684 0.022 0.029 -0.013
4848 0.051 0.032 0.015
4949 0.022 0.029 -0.018
5073 0.073 -0.039 -0.062
5245 0.024 0.016 -0.031
5342 -0.045 -0.052 0.043
5468 0.006 0.145 -0.036
5557 0.012 0.025 0.005
5708 0.019 0.009 -0.014
5866 -0.008 -0.026 0.004
5955 -0.020 0.014 0.049
6078 0.023 0.088 -0.025
6165 0.001 -0.019 0.019
6245 0.003 0.065 -0.008
6403 0.017 -0.042 -0.019
6639 -0.036 0.074 0.057
6813 -0.055 0.366 -0.080
6938 -0.148 1.115 -0.044
7038 0.245 1.271 -0.138
7145 -0.041 0.653 -0.166
7269 0.725 0.306 -0.923
7497 -2.431 1.071 -0.491
7626 -0.880 1.173 -0.297
7716 0.900 -2.515 -1.026
7874 -0.110 0.999 -0.255
7975 0.627 -0.340 -0.100
8075 0.019 0.153 0.021
8178 -0.020 -0.293 -0.044
8287 0.046 -0.002 -0.079
8402 -0.077 0.049 0.015
8512 0.065 -0.152 -0.029
8674 -0.041 0.115 0.053
8795 -0.059 -0.057 -0.011
8888 -0.153 -0.079 0.030
8969 -0.092 -0.036 0.060
9049 -0.104 0.040 -0.022
9158 -0.170 0.032 -0.096
9258 -0.103 -0.375 -0.022
9338 0.025 -0.021 0.035
9433 -0.056 0.223 0.015
